Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
20,36,2012,4,193000.0,1800.0,2,1,10950.0,11,19300.0,69.46299759551162,6300.0,1
44,131,2010,9,202000.0,2400.0,0,1,14750.0,13,16833.333333333332,69.46299759551162,12000.0,1
6,101,2013,6,209000.0,1500.0,0,0,5750.0,10,23222.222222222223,69.46299759551162,4800.0,2
14,101,2010,4,145000.0,1400.0,4,0,4750.0,13,12083.333333333334,69.46299759551162,4480.0,1
20,36,2012,4,194000.0,1800.0,2,1,9999.0,11,19400.0,69.46299759551162,6300.0,1
44,132,2008,9,249000.0,2400.0,0,0,11500.0,15,17785.714285714286,69.46299759551162,12000.0,1
14,60,2008,4,142000.0,1100.0,4,0,3499.0,15,10142.857142857143,69.46299759551162,3520.0,1
23,14,2005,4,260000.0,1500.0,3,1,4750.0,18,15294.117647058823,69.46299759551162,4800.0,1
23,31,2002,2,240000.0,2300.0,4,0,3499.0,21,12000.0,69.46299759551162,11040.0,1
16,101,2012,10,120000.0,2200.0,0,1,15999.0,11,12000.0,69.46299759551162,10560.0,1
23,48,2010,10,182000.0,1800.0,4,1,11750.0,13,15166.666666666666,69.46299759551162,6300.0,1
36,85,2005,11,300000.0,2000.0,4,0,4999.0,18,17647.058823529413,69.46299759551162,9600.0,1
28,23,2008,11,310000.0,1300.0,0,0,4850.0,15,22142.85714285714,69.46299759551162,4160.0,2
36,114,2014,10,186000.0,1600.0,0,1,12300.0,9,23250.0,69.46299759551162,5600.0,2
43,101,2011,7,150000.0,2000.0,0,0,12800.0,12,13636.363636363636,69.46299759551162,9600.0,1
23,126,2000,6,258000.0,2200.0,0,1,2999.0,23,11727.272727272728,69.46299759551162,10560.0,1
27,95,2016,3,151000.0,1500.0,0,0,13890.0,7,25166.666666666668,69.46299759551162,4800.0,2
2,9,2018,10,46000.0,2000.0,4,1,27650.0,5,11500.0,69.46299759551162,9600.0,1
33,80,2010,11,257110.0,1500.0,0,0,4999.0,13,21425.83333333333,69.46299759551162,4800.0,2
