Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,0,13890.0,7,25166.666666666668,69.46299759551162,4800.0,2
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,1,27650.0,5,11500.0,69.46299759551162,9600.0,1
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,0,4999.0,13,21425.83333333333,69.46299759551162,4800.0,2
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,0,12990.0,7,27833.33333333333,69.46299759551162,4800.0,2
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,1,16750.0,5,28500.0,69.46299759551162,6300.0,2
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,0,11990.0,6,31520.0,69.46299759551162,4800.0,2
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,1,8990.0,9,23750.0,69.46299759551162,6300.0,2
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,1,18790.0,6,23800.0,69.46299759551162,6300.0,2
Peugeot,Rare,2018,Crossover,145000.0,1500.0,Diesel,1,16790.0,5,36250.0,69.46299759551162,4800.0,2
Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,1,13450.0,7,25033.33333333333,69.46299759551162,4800.0,2
Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,1,21750.0,8,21285.714285714286,69.46299759551162,12500.0,2
Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,1,5350.0,17,13500.0,69.46299759551162,9600.0,1
Infiniti,Rare,2016,Crossover,88000.0,1500.0,Diesel,1,15790.0,7,14666.666666666666,69.46299759551162,4800.0,1
Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,0,5999.0,16,21333.33333333333,69.46299759551162,5600.0,2
Hyundai,Matrix,2006,Hatchback,298000.0,1500.0,Diesel,0,2999.0,17,18625.0,69.46299759551162,4800.0,1
Honda,Civic,2017,Hatchback,27138.0,1500.0,Petrol,1,13300.0,6,5427.6,69.46299759551162,4800.0,0
Renault,Kadjar,2016,Crossover,140000.0,1500.0,Diesel,1,12400.0,7,23333.33333333333,69.46299759551162,4800.0,2
Skoda,Octavia,2012,Sedan,166000.0,1600.0,Diesel,1,8990.0,11,16600.0,69.46299759551162,5600.0,1
Skoda,Superb,2009,Sedan,223000.0,2000.0,Diesel,1,8990.0,14,17153.846153846152,69.46299759551162,9600.0,1
Toyota,Corolla,2006,Universal,198563.0,1400.0,Diesel,1,5350.0,17,12410.1875,69.46299759551162,4480.0,1
Volvo,Rare,2000,Sedan,202698.0,2800.0,Petrol,1,3999.0,23,9213.545454545454,69.46299759551162,14000.0,0
Land Rover,Freelander,2000,SUV,230000.0,2000.0,Diesel,0,2750.0,23,10454.545454545454,69.46299759551162,9600.0,1
BMW,5 Series,2018,Sedan,82000.0,2000.0,Diesel,1,34000.0,5,20500.0,69.46299759551162,9600.0,2
Volkswagen,Passat,1995,Universal,250369.0,1800.0,Petrol,0,2700.0,28,9272.925925925923,69.46299759551162,6300.0,0
KIA,Rare,2005,Sedan,250632.0,2000.0,Metan/Propan,0,2690.0,18,14743.058823529413,69.46299759551162,9600.0,1
Seat,Rare,1998,Combi,300000.0,1900.0,Diesel,0,1450.0,25,12500.0,69.46299759551162,9120.0,1
Skoda,Fabia,2012,Minivan,165500.0,1200.0,Diesel,0,5100.0,11,16550.0,69.46299759551162,3840.0,1
Mitsubishi,Outlander,2011,SUV,248000.0,2000.0,Petrol,1,9900.0,12,22545.454545454544,69.46299759551162,9600.0,2
Ford,Focus,2016,Universal,170000.0,1499.0,Diesel,0,8890.0,7,28333.33333333333,69.46299759551162,4796.8,2
Renault,Megane,2008,Universal,245000.0,1500.0,Diesel,0,3600.0,15,17500.0,69.46299759551162,4800.0,1
Honda,Civic,1999,Universal,290000.0,1500.0,Petrol,0,1800.0,24,12608.695652173914,69.46299759551162,4800.0,1
Hyundai,Tucson,2014,Crossover,120000.0,200.0,Metan/Propan,1,12000.0,9,15000.0,69.46299759551162,600.0,1
Renault,Rare,2007,Sedan,211000.0,1400.0,Petrol,0,2900.0,16,14066.666666666666,69.46299759551162,4480.0,1
Audi,A4,2012,Sedan,166700.0,2000.0,Petrol,1,10200.0,11,16670.0,69.46299759551162,9600.0,1
Audi,Rare,2016,Hatchback,145000.0,1400.0,Electric,1,16450.0,7,24166.666666666668,69.46299759551162,4480.0,2
Lexus,CT Series,2014,Sedan,81700.0,1800.0,Hybrid,1,12450.0,9,10212.5,69.46299759551162,6300.0,1
Toyota,Auris,2013,Universal,142865.0,1400.0,Diesel,0,8700.0,10,15873.888888888889,69.46299759551162,4480.0,1
Vaz,2107,2007,Sedan,135865.0,1400.0,Petrol,0,1500.0,16,9057.666666666666,69.46299759551162,4480.0,0
Renault,Grand Scenic,2013,Minivan,181000.0,1500.0,Diesel,1,7000.0,10,20111.11111111111,69.46299759551162,4800.0,2
Skoda,Octavia,2014,Universal,155000.0,1400.0,Petrol,1,9700.0,9,19375.0,69.46299759551162,4480.0,1
Skoda,Octavia,2015,Sedan,164000.0,1600.0,Diesel,1,12750.0,8,23428.571428571428,69.46299759551162,5600.0,2
Volkswagen,Rare,2010,Coupe,150589.0,1400.0,Petrol,0,7999.0,13,12549.083333333334,69.46299759551162,4480.0,1
Ford,Focus,2015,Universal,152523.0,1500.0,Diesel,1,9300.0,8,21789.0,69.46299759551162,4800.0,2
Opel,Astra,2007,Universal,190000.0,1300.0,Diesel,0,4499.0,16,12666.666666666666,69.46299759551162,4160.0,1
Toyota,Avensis,2014,Universal,165000.0,2000.0,Diesel,0,15600.0,9,20625.0,69.46299759551162,9600.0,2
BMW,7 Series,2006,Sedan,260000.0,3000.0,Diesel,1,11000.0,17,16250.0,69.46299759551162,15000.0,1
Toyota,Auris,2011,Hatchback,182251.0,1798.0,Hybrid,1,8200.0,12,16568.272727272728,69.46299759551162,6293.0,1
Fiat,Rare,2008,Hatchback,185000.0,1300.0,Diesel,1,3600.0,15,13214.285714285714,69.46299759551162,4160.0,1
Chevrolet,Aveo,2012,Hatchback,187000.0,1300.0,Diesel,0,4600.0,11,18700.0,69.46299759551162,4160.0,1
Renault,Megane,2005,Sedan,190000.0,1500.0,Diesel,0,3200.0,18,11176.470588235294,69.46299759551162,4800.0,1
Suzuki,Rare,2005,SUV,400000.0,2700.0,Petrol,1,5500.0,18,23529.41176470588,69.46299759551162,13500.0,2
Volkswagen,Golf,2010,Hatchback,225550.0,2000.0,Petrol,1,9650.0,13,18795.83333333333,69.46299759551162,9600.0,1
Daewoo,Rare,2003,Hatchback,220000.0,1400.0,Petrol,0,2000.0,20,11578.947368421052,69.46299759551162,4480.0,1
Nissan,Almera,2003,Hatchback,90000.0,1500.0,Petrol,0,1000.0,20,4736.8421052631575,69.46299759551162,4800.0,0
Renault,Grand Scenic,2013,Minivan,165000.0,1500.0,Diesel,0,7500.0,10,18333.33333333333,69.46299759551162,4800.0,1
Honda,Rare,2018,Hatchback,36000.0,1500.0,Plug-in Hybrid,1,18499.0,5,9000.0,69.46299759551162,4800.0,0
